Study_code;Sample_ID;SpC;Cl;SO4;NO3;NO2;F;TN;Sample_n;Sample_ID;NPOC;Sample_ID
WHONDRS_S19S;S19S_0042_ANI-2;NA;NA;NA;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;Below_Range_Less_Than_0.02;0.77;S19S42;S19S_0042_ICR-2;12.17;S19S_0042_ANI-2
WHONDRS_S19S;S19S_0042_ANI-3;NA;NA;NA;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;Below_Range_Less_Than_0.02;2.03;S19S42;S19S_0042_ICR-3;12.99;S19S_0042_ANI-3
WHONDRS_S19S;S19S_0043_ANI-1;786;35.22;22.81;50.69;Below_Range_Less_Than_0.04;0.1;Above_Range_Greater_Than_11;S19S43;S19S_0043_ICR-1;1.76;S19S_0043_ANI-1
WHONDRS_S19S;S19S_0043_ANI-2;NA;37.82;25.12;46.8;Below_Range_Less_Than_0.04;0.1;11.63;S19S43;S19S_0043_ICR-2;1.84;S19S_0043_ANI-2
WHONDRS_S19S;S19S_0043_ANI-3;NA;36.76;23.48;50.78;Below_Range_Less_Than_0.04;0.1;11.66;S19S43;S19S_0043_ICR-3;1.57;S19S_0043_ANI-3
WHONDRS_S19S;S19S_0044_ANI-1;94;7.5;4.68;0.4;Below_Range_Less_Than_0.04;0.05;0.55;S19S44;S19S_0044_ICR-1;13.43;S19S_0044_ANI-1
WHONDRS_S19S;S19S_0044_ANI-2;NA;7.54;4.45;0.21;Below_Range_Less_Than_0.04;0.05;0.85;S19S44;S19S_0044_ICR-2;12.83;S19S_0044_ANI-2
WHONDRS_S19S;S19S_0044_ANI-3;NA;7.64;4.64;1.31;Below_Range_Less_Than_0.04;0.06;1.27;S19S44;S19S_0044_ICR-3;13.02;S19S_0044_ANI-3
WHONDRS_S19S;S19S_0045_ANI-1;998;96.69;121.39;32.71;0.29;0.12;8.36;S19S45;S19S_0045_ICR-1;8.39;S19S_0045_ANI-1
WHONDRS_S19S;S19S_0045_ANI-2;NA;105.05;132.65;32.99;0.29;0.16;9.05;S19S45;S19S_0045_ICR-2;6.37;S19S_0045_ANI-2
WHONDRS_S19S;S19S_0045_ANI-3;NA;95.96;120.28;32.79;0.27;0.13;9.35;S19S45;S19S_0045_ICR-3;7.48;S19S_0045_ANI-3
WHONDRS_S19S;S19S_0046_ANI-1;2.82;NA;0.31;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;Below_Range_Less_Than_0.02;0.59;S19S46;S19S_0046_ICR-1;NA;S19S_0046_ANI-1
